Title,Creator,Resource Type,Source Category,Topic,Key Themes,External Link,Google Drive Link,Status,Quality / Depth,Audience Level,Access,Rights / Licensing,Language,Duration,Year Produced,Date Added,Date Accessed,Added By,Suggested By,Notes
"The Laws of Manu","Patrick Olivelle","Primary Text","Academic / Peer-Reviewed","Dharma, Varna, Caste & Social Ethics","dharma, varna, law, social order, Dharmaśāstra",https://archive.org/details/manusmriti,,"⭐ Key Source","Reference-Grade","Advanced","Open Archive","Unknown","English",,2006,2026-06-08,,"Gopinath",,"Core primary source for this strand. Olivelle translation."
"The Hindus: An Alternative History","Wendy Doniger","Book","Academic / Peer-Reviewed","History of Hinduism","survey history, alternative narratives, women, lower castes",https://www.penguinrandomhouse.com,,"🔍 To Review","Deep","Advanced","Paid","Unknown","English",,2009,2026-06-08,,"Arya",,"Controversial but academically significant."
"What is Hinduism? (BBC Teach)","BBC Education","Video","Public / General Audience","Cross-Topic / General","overview, introduction",https://www.bbc.co.uk/teach,,"✅ Done","Surface","Introductory","Free","Educational use (BBC Teach)","English",,2010,2026-06-07,2026-06-07,"Anu",,"Good classroom starter video."
"Devdutt Pattanaik on Caste","Devdutt Pattanaik","Podcast","Practitioner / Devotional","Dharma, Varna, Caste & Social Ethics","caste, modern interpretation, mythology, accessible",https://devdutt.com,,"🔄 In Progress","Solid","Intermediate","Free","Unknown","English",,,2026-06-06,2026-06-06,"Gopinath",,"Good counterpoint to academic sources."
"Rig Veda — Penguin Classics","Wendy Doniger","Book","Academic / Peer-Reviewed","Vedas & Sacred Texts","Rigveda, vedas, hymns, cosmology, primary text",https://www.penguinbooks.com,,"📥 Saved","Reference-Grade","Academic","Paid","Unknown","English",,1981,2026-06-05,,"Anu",,"Essential for Vedas strand. Anthology of 108 hymns, not the complete text."
"Introducing Hinduism","Hillary Rodrigues","Book","Academic / Peer-Reviewed","Cross-Topic / General","survey, textbook, multiple topics",https://www.routledge.com/Introducing-Hinduism/Rodrigues/p/book/9780367676926,,"📥 Saved","Reference-Grade","Academic","Paid","Unknown","English",,,2026-06-10,,"Arya",,"General survey textbook — reclassified from the Dharma strand to Cross-Topic since it covers multiple topics."
"Heart of Hinduism: Varnashrama Dharma","ISKCON Educational Services","Website","Practitioner / Devotional","Dharma, Varna, Caste & Social Ethics","varnashrama dharma, Purusha Sukta, key concepts",https://iskconeducationalservices.org/HoH/concepts/key-concepts/varnashrama-dharma/,,"📥 Saved","Surface","Intermediate","Free","Unknown","English",,,2026-06-10,2026-06-10,"Arya",,"Good introductory ideas to summarise topic. Reclassified from Public/General to Practitioner source (ISKCON)."
"Hinduwebsite.com — The Four Ashramas","Jayaram V","Website","Public / General Audience","Dharma, Varna, Caste & Social Ethics","ashramas, four stages of life",https://www.hinduwebsite.com/hinduism/concepts/ashramas.asp,,"📥 Saved","Surface","Introductory","Free","Unknown","English",,,2026-06-10,2026-06-10,"Arya",,"Good introductory ideas, some irrelevant information."
"Study.com — The Four Stages of Life in Hinduism","Jessica Whittemore","Video","Student / Educational","Dharma, Varna, Caste & Social Ethics","ashramas, four stages of life",https://study.com/academy/lesson/hinduism-the-four-stages-of-life.html,,"📥 Saved","Surface","Introductory","Free","Unknown","English",,,2026-06-10,2026-06-10,"Arya",,"Introductory; poor quality graphics."
"Gandhi's First Protest in South Africa (film clip)","Gandhi (1982 Film)","Film Clip","Public / General Audience","Dharma, Varna, Caste & Social Ethics","Gandhi, reform, speech uniting Hindus",https://www.youtube.com/watch?v=SNmJqRV7LOA,,"📥 Saved","Surface","Introductory","Free","⚠️ Check copyright","English",,1982,2026-06-10,2026-06-10,"Arya",,"Insightful speech, poor video quality. Clear copyright before classroom use."
"Gandhi — Salt March (film clip)","Gandhi (1982 Film)","Film Clip","Public / General Audience","Dharma, Varna, Caste & Social Ethics","non-violent protest, British Rule, salt march",https://www.youtube.com/watch?v=WW3uk95VGes,,"📥 Saved","Surface","Introductory","Unknown","⚠️ Check copyright","English",,1982,2026-06-10,2026-06-10,"Arya",,"Non-violent protest against British rule. Clear copyright before classroom use."
