Name,Category,Perspective,Specialism,Institution / Affiliation,Notable Works,X/Twitter Handle,Website,Credibility Notes,Added By
"Kim Knott","Scholar / Academic","Academic / Critical","Hinduism in Britain, diaspora, religion and place","Lancaster University (formerly Leeds)","Hinduism: A Very Short Introduction",,,"Leading scholar of Hinduism in the UK; former President of the British Association for the Study of Religions.",
"Crash Course","Organisation","Public / Accessible","Educational video series","Complexly / PBS","Crash Course Religions (2024)",,https://thecrashcourse.com,"High-production classroom video; 2024 religions series was Pew-funded with academic consultants.",
"Hinduism Today","Organisation","Traditional / Practitioner","Contemporary Hindu journalism","Himalayan Academy, Kauai's Hindu Monastery","Hinduism Today magazine (since 1979)",,https://www.hinduismtoday.com,"Articulate insider voice; Saiva Siddhanta monastery editorial stance — devotional, not neutral.",
"The Pluralism Project","Organisation","Academic / Critical","Religious diversity in America","Harvard University (founded by Diana Eck)","On Common Ground; pluralism.org",,https://pluralism.org,"Respected research project; US-diaspora lens.",
"Smarthistory","Organisation","Public / Accessible","Art history open educational resources","Independent non-profit (founded by Khan Academy art editors)","smarthistory.org essays and videos",,https://smarthistory.org,"Scholar-written, free, reliable for visual culture.",
"RE:ONLINE","Organisation","Public / Accessible","UK religious education support","Culham St Gabriel's Trust","Subject knowledge essays for RE teachers",,https://www.reonline.org.uk,"Quality-assured, expert-authored; built for exactly OCHS's teaching audience.",
"Cornelia Dimmitt","Scholar / Academic","Academic / Critical","Sanskrit, Puranas","Georgetown University","Classical Hindu Mythology (ed./trans.)",,,"Co-editor of the standard Purāṇa anthology.",
"J.A.B. van Buitenen","Scholar / Academic","Academic / Critical","Sanskrit, Mahabharata","University of Chicago (d. 1979)","Mahabharata (trans.); Classical Hindu Mythology",,,"One of the great 20th-c. Sanskritists.",
"BBC Radio 4","Organisation","Public / Accessible","Broadcast discussion programmes","BBC","In Our Time (Religion)",,https://www.bbc.co.uk/programmes/b006qykl,"In Our Time panels are leading academics — Jessica Frazier (OCHS) appears on all three Hinduism episodes in the Hive.",
"Sister Nivedita","Author","Traditional / Practitioner","Retellings of Hindu stories; education","Disciple of Swami Vivekananda (d. 1911)","Myths of the Hindus and Buddhists; The Web of Indian Life",,,"Irish-born devotee; sympathetic colonial-era retellings — historically significant, dated framing.",
"Ananda K. Coomaraswamy","Scholar / Academic","Traditional / Practitioner","Indian art history, metaphysics","Museum of Fine Arts, Boston (d. 1947)","The Dance of Shiva; Myths of the Hindus and Buddhists",,,"Pioneering art historian and traditionalist thinker; pre-modern in method but enduringly influential.",
"Gurcharan Das","Author","Popular / Accessible","Dharma in public life, Mahabharata","Independent (former CEO, P&G India)","The Difficulty of Being Good; India Unbound",,https://gurcharandas.org,"Thoughtful public intellectual, not an academic; excellent for engaging non-specialists.",
"Roy W. Perrett","Scholar / Academic","Academic / Critical","Indian philosophy, ethics","Formerly Massey University / University of Melbourne (d. 2018)","Hindu Ethics; An Introduction to Indian Philosophy",,,"Respected analytic philosopher of Indian thought.",
"Internet Encyclopedia of Philosophy","Organisation","Academic / Critical","Peer-reviewed philosophy reference","Independent (IEP)","iep.utm.edu entries",,https://iep.utm.edu,"Free and genuinely peer-reviewed — citable.",
"M.K. Gandhi","Author","Reform / Neo-Hindu","Ahimsa, satyagraha, social reform","Indian independence movement (d. 1948)","An Autobiography; Hind Swaraj",,,"Primary source; his readings of Hinduism are themselves contested (incl. by Ambedkar) — teach the debate.",
"Swami Vivekananda","Author","Reform / Neo-Hindu","Vedanta, modern Hinduism's global voice","Ramakrishna Mission (d. 1902)","Chicago Addresses (1893); Raja Yoga",,https://belurmath.org,"Founding figure of modern global Hinduism; his neo-Vedanta is a particular interpretation, not a neutral summary.",
