Title,Creator,Resource Type,Source Category,Topic,Key Themes,External Link,Google Drive Link,Status,Quality / Depth,Audience Level,Access,Rights / Licensing,Language,Duration,Year Produced,Date Added,Date Accessed,Added By,Suggested By,Notes
"An Introduction to Hinduism","Gavin Flood","Book","Academic / Peer-Reviewed","Cross-Topic / General","survey, history, traditions, ritual",https://www.cambridge.org/9780521438780,,"🔍 To Review","Reference-Grade","Academic","Paid","Unknown","English",,1996,2026-06-10,2026-06-10,,,"The standard academic introduction; strong on tantra, ritual and south Indian traditions. Flood already in People."
"Hinduism: A Very Short Introduction","Kim Knott","Book","Academic / Peer-Reviewed","Cross-Topic / General","overview, modern Hinduism, diaspora, nationalism",https://global.oup.com/academic/product/hinduism-9780198745549,,"🔍 To Review","Solid","Introductory","Paid","Unknown","English",,2016,2026-06-10,2026-06-10,,,"Pocket-sized expert overview (2nd ed.) including social media, popular culture and Hindu nationalism — ideal first read for students."
"The Infinite Stories of Hinduism (Crash Course Religions #5)","Crash Course","Video","Student / Educational","Cross-Topic / General","overview, karma, Hindu identity",https://www.youtube.com/watch?v=Yw-1HeEIf5M,,"🔍 To Review","Surface","Introductory","Free","Educational use permitted","English",,2024,2026-06-10,2026-06-10,,,"Part of the Pew-funded 2024 world religions series, also on PBS — polished classroom starter."
"Hinduism I: Sources and Development (lecture series)","Oxford Centre for Hindu Studies","Course/Lesson","Academic / Peer-Reviewed","Cross-Topic / General","Vedas, Upanishads, Gita, formation of traditions",https://ochs.org.uk/lecture/hinduism-i-sources-and-development-introduction-the-indus-valley-culture-and-the-controversy-of-origins/,,"🔍 To Review","Deep","Intermediate","Free","Unknown","English",,,2026-06-10,2026-06-10,,,"OCHS's own free recorded lecture series — historical/thematic introduction from the Indus Valley onward."
"Hinduism Today (magazine)","Hinduism Today","Website","Practitioner / Devotional","Cross-Topic / General","contemporary Hinduism, practice, global Hindu life",https://www.hinduismtoday.com/magazine/,,"🔍 To Review","Solid","Intermediate","Free","Unknown","English",,,2026-06-10,2026-06-10,,,"Free quarterly from Kauai's Hindu Monastery (Saiva Siddhanta) — articulate insider journalism; single-tradition editorial stance."
"Introduction to Hinduism (Pluralism Project)","The Pluralism Project","Website","Public / General Audience","Cross-Topic / General","Hinduism in America, diaspora, pluralism",https://pluralism.org/introduction-to-hinduism,,"🔍 To Review","Surface","Introductory","Free","Unknown","English",,,2026-06-10,2026-06-10,,,"Harvard project founded by Diana Eck; frames Hinduism through its American diaspora presence."
"Beliefs made visible: Hindu art in South Asia","Smarthistory","Website","Student / Educational","Cross-Topic / General","art, iconography, visual culture",https://smarthistory.org/beliefs-made-visible-hindu-art-in-south-asia-2-2/,,"🔍 To Review","Surface","Introductory","Free","Educational use permitted","English",,,2026-06-10,2026-06-10,,,"Free art-history introduction with quality images — good visual entry point."
"Hindu worldview traditions (subject knowledge essay)","RE:ONLINE","Website","Student / Educational","Cross-Topic / General","RE teaching, worldviews, representation",https://www.reonline.org.uk/subject-knowledge/hinduism/,,"🔍 To Review","Solid","Intermediate","Free","Educational use permitted","English",,2020,2026-06-10,2026-06-10,,,"Expert essay by Catherine Robinson and Denise Cush written for UK RE teachers — includes guidance on representation and decolonising teaching."
"Hindu Myths: A Sourcebook Translated from the Sanskrit","Wendy Doniger","Primary Text","Academic / Peer-Reviewed","Cosmology & Mythology","creation, Vishnu, Shiva, Krishna, myth",https://www.penguinrandomhouse.ca/books/296005/hindu-myths-by-anonymous-translated-and-edited-with-an-introduction-and-notes-by-wendy-doniger/9780140449907,,"🔍 To Review","Reference-Grade","Advanced","Paid","Unknown","English",,1975,2026-06-10,2026-06-10,,,"Seventy-five core myths translated from Sanskrit sources — the standard mythology sourcebook."
"Classical Hindu Mythology: A Reader in the Sanskrit Purāṇas","Cornelia Dimmitt, J.A.B. van Buitenen","Primary Text","Academic / Peer-Reviewed","Cosmology & Mythology","Puranas, creation, time, gods, Goddess",https://archive.org/details/classicalhindumy0000unse,,"🔍 To Review","Reference-Grade","Advanced","Open Archive","Unknown","English",,1978,2026-06-10,2026-06-10,,,"Purāṇic myths organised by theme (Origins; Viṣṇu; Śiva; the Goddess); archive.org lending copy linked."
"Myth = Mithya: Decoding Hindu Mythology","Devdutt Pattanaik","Book","Public / General Audience","Cosmology & Mythology","myth, symbolism, Brahma-Vishnu-Shiva",https://www.penguin.co.in/book/mythmithya-2/,,"🔍 To Review","Solid","Introductory","Paid","Unknown","English",,2006,2026-06-10,2026-06-10,,,"Accessible handbook reading myths as cultural frames; popular not scholarly — pairs well with Doniger."
"Hindu Ideas of Creation (In Our Time: Religion)","BBC Radio 4","Podcast","Public / General Audience","Cosmology & Mythology","creation, Nasadiya Sukta, cosmology",https://podtail.com/en/podcast/in-our-time-religion/hindu-ideas-of-creation,,"🔍 To Review","Solid","Intermediate","Free","Educational use permitted","English","45 min",2013,2026-06-10,2026-06-10,,,"Melvyn Bragg with Jessica Frazier (OCHS), Chakravarthi Ram-Prasad and Gavin Flood; also on BBC Sounds."
