Title,Creator,Resource Type,Source Category,Topic,Key Themes,External Link,Google Drive Link,Status,Quality / Depth,Audience Level,Access,Rights / Licensing,Language,Duration,Year Produced,Date Added,Date Accessed,Added By,Suggested By,Notes
"The Yoga Sūtras of Patañjali: A New Edition, Translation, and Commentary","Edwin F. Bryant","Primary Text","Academic / Peer-Reviewed","Yoga, Body & Spirituality","Yoga Sūtras, classical yoga, Patañjali, commentary",https://us.macmillan.com/books/9780865477360/theyogasutrasofpatanyjali/,,"🔍 To Review","Reference-Grade","Academic","Paid","Unknown","English",,2009,2026-06-10,2026-06-10,,,"The standard modern scholarly translation, with commentary drawing on Vyāsa and the traditional commentators; a lending copy exists on archive.org."
"Yoga: Discipline of Freedom — The Yoga Sutra Attributed to Patanjali","Barbara Stoler Miller","Primary Text","Academic / Peer-Reviewed","Yoga, Body & Spirituality","Yoga Sūtras, classical yoga, accessible translation",https://www.penguinrandomhouse.com/books/114493/yoga-discipline-of-freedom-by-translated-by-barbara-stoler-miller/,,"🔍 To Review","Solid","Intermediate","Paid","Unknown","English",,1996,2026-06-10,2026-06-10,,,"Short and highly readable — the better Yoga Sūtras option for A-Level extracts; free lending copy on archive.org."
"Roots of Yoga","James Mallinson, Mark Singleton","Primary Text","Academic / Peer-Reviewed","Yoga, Body & Spirituality","yoga history, primary texts, āsana, mantra, meditation",https://www.penguin.co.uk/books/254332/roots-of-yoga-by-james-mallinson-mark-singleton/9780241253045,,"🔍 To Review","Reference-Grade","Advanced","Paid","Unknown","English",,2017,2026-06-10,2026-06-10,,,"Translations from 100+ Sanskrit and vernacular yoga texts, many for the first time — the sourcebook for the whole strand."
"The Hatha Yoga Pradipika (Pancham Sinh translation)","Pancham Sinh","Primary Text","Academic / Peer-Reviewed","Yoga, Body & Spirituality","haṭha yoga, āsana, prāṇāyāma, Svātmārāma",https://archive.org/details/HathaYogaPradipika-SanskritTextWithEnglishTranslatlionAndNotes,,"🔍 To Review","Solid","Advanced","Open Archive","Unknown","English",,1915,2026-06-10,2026-06-10,,,"Free public-domain translation of Svātmārāma's 15th-c. haṭha classic with Sanskrit text; dated (1915) — cross-check terminology against Mallinson's modern work."
"Yoga Body: The Origins of Modern Posture Practice","Mark Singleton","Book","Academic / Peer-Reviewed","Yoga, Body & Spirituality","modern postural yoga, physical culture, colonial India, invented tradition",https://global.oup.com/academic/product/yoga-body-9780195395341,,"🔍 To Review","Deep","Advanced","Paid","Unknown","English",,2010,2026-06-10,2026-06-10,,,"Field-defining and contested argument that globalised posture practice is largely a modern construction — pair with the HAF resource for a classroom debate."
"Selling Yoga: From Counterculture to Pop Culture","Andrea R. Jain","Book","Academic / Peer-Reviewed","Yoga, Body & Spirituality","commercialisation, consumer culture, modern yoga, globalisation",https://global.oup.com/academic/product/selling-yoga-9780199390243,,"🔍 To Review","Deep","Advanced","Paid","Unknown","English",,2014,2026-06-10,2026-06-10,,,"Critical study of yoga's commodification; also engages the Hindu-origins debate directly."
"A History of Modern Yoga: Patañjali and Western Esotericism","Elizabeth De Michelis","Book","Academic / Peer-Reviewed","Yoga, Body & Spirituality","modern yoga, Vivekananda, Western esotericism, typology",https://archive.org/details/historyofmoderny0000demi,,"🔍 To Review","Deep","Academic","Open Archive","Unknown","English",,2004,2026-06-10,2026-06-10,,,"The book that founded modern yoga studies; traces Modern Yoga to Vivekananda's 1896 Raja Yoga. Archive.org lending copy linked."
"The Haṭha Yoga Project (SOAS)","SOAS Hatha Yoga Project","Website","Academic / Peer-Reviewed","Yoga, Body & Spirituality","haṭha yoga, philology, ethnography, critical editions",http://hyp.soas.ac.uk/,,"🔍 To Review","Deep","Advanced","Free","Unknown","English",,,2026-06-10,2026-06-10,,,"ERC-funded SOAS project (2015–20, PI James Mallinson): critical editions and translations of ten haṭha texts, freely accessible outputs."
"Tantra: enlightenment to revolution","The British Museum","Museum/Archive","Public / General Audience","Yoga, Body & Spirituality","tantra, goddess worship, visual culture, counterculture",https://www.britishmuseum.org/exhibitions/tantra-enlightenment-revolution,,"🔍 To Review","Solid","Intermediate","Free","Educational use permitted","English",,2020,2026-06-10,2026-06-10,,,"Curated by Imma Ramos; serious treatment of a topic that is easily sensationalised — strong images for classroom use."
"Yoga: The Art of Transformation","Smithsonian National Museum of Asian Art","Museum/Archive","Public / General Audience","Yoga, Body & Spirituality","yogic art, visual history, sculpture, manuscripts",https://asia.si.edu/whats-on/exhibitions/yoga-the-art-of-transformation/,,"🔍 To Review","Solid","Intermediate","Free","Educational use permitted","English",,2013,2026-06-10,2026-06-10,,,"World's first exhibition of yogic visual art (Sackler Gallery), 133 works across two millennia — excellent images and framing."
